id,en,es,eu,ru,zh,fr,it,tr
menu.main.title,PAW\nON THE\nTRIGGER,PATA\nEN EL\nGATILLO,PAW\nON THE\nTRIGGER,PAW\nON THE\nTRIGGER,PAW\nON THE\nTRIGGER,PAW\nON THE\nTRIGGER,PAW\nON THE\nTRIGGER,PAW\nON THE\nTRIGGER
menu.main.play,PLAY,JUGAR,JOLASTU,ИГРАТЬ,开始,JOUER,GIOCA,Başla
menu.main.settings,SETTINGS,AJUSTES,EZARPENAK,НАСТРОЙКИ,设置,PARAMÈTRES,IMPOSTAZIONI,Ayarlar
menu.main.form,GOOGLE FORM,FORMULARIO,FORMULARIO,GOOGLE‑ФОРМА,谷歌表单,FORMULAIRE,MODULO,Google Formu
menu.main.credits,CREDITS,CRÉDITOS,KREDITUAK,АВТОРЫ,制作人员,CRÉDITS,CREDITI,Jenerik
menu.main.controls,CONTROLS,CONTROLES,KONTROLAK,УПРАВЛЕНИЕ,操控,COMMANDES,CONTROLLI,Kontroller
menu.main.exit,EXIT,SALIR,IRTEN,ВЫЙТИ,退出,QUITTER,ESCI,Oyundan Çık
menu.pause.title,PAUSE,PAUSA,PAUSA,ПАУЗА,暂停,PAUSE,PAUSA,Durdur
menu.pause.skipScene,SKIP,SALTAR,SALTATU,ПРОПУСТИТЬ,跳过,PASSER,SALTA,Atla
menu.pause.continue,CONTINUE,CONTINUAR,JARRAITU,ПРОДОЛЖИТЬ,继续,CONTINUER,CONTINUA,Devam Et
menu.pause.retry,RETRY,REINTENTAR,BERRIRO SAIATU,ПОВТОРИТЬ,重试,RÉESSAYER,RIPROVA,Tekrar Dene
menu.pause.replay,RESTART,REINICIAR,BERRABIARAZI,ПЕРЕЗАПУСТИТЬ,重新开始,RECOMMENCER,RICOMINCIA,Baştan Başla
menu.pause.settings,SETTINGS,AJUSTES,EZARPENAK,НАСТРОЙКИ,设置,PARAMÈTRES,IMPOSTAZIONI,Ayarlar
menu.pause.mainMenu,MAIN MENU,MENU PRINCIPAL,MENU NAGUSI,ГЛАВНОЕ МЕНЮ,主菜单,MENU PRINCIPAL,MENU PRINCIPALE,Ana Menü
menu.pause.exit,EXIT,SALIR,IRTEN,ВЫЙТИ,退出,QUITTER,ESCI,Çık
